2017, INVENTORY, 11000
2016, INVENTORY, 12000
2015, INVENTORY, 12000
2014, INVENTORY, 12000
2013, INVENTORY, 10000
2012, INVENTORY, 13000
2011, INVENTORY, 14000
2010, INVENTORY, 13000
2009, INVENTORY, 11000
2008, INVENTORY, 12000
2007, INVENTORY, 12000
2006, INVENTORY, 10000
2005, INVENTORY, 10000
2004, INVENTORY, 9000
2003, INVENTORY, 10000
2002, INVENTORY, 16000
2001, INVENTORY, 13000
2000, INVENTORY, 11000
1999, INVENTORY, 9000
1998, INVENTORY, 8000
1997, INVENTORY, 8000
1996, INVENTORY, 12000
1995, INVENTORY, 12000
1994, INVENTORY, 15000
1993, INVENTORY, 15000
1992, INVENTORY, 15000
1991, INVENTORY, 18000
1990, INVENTORY, 20000
1989, INVENTORY, 25000
1988, INVENTORY, 21000
1987, INVENTORY, 20000
